Ranked Marker Expression for each Archetype (by Z-score)
============================================================

--- Archetype 1: Archetype 1: CD45RO/CD62L/CD45RA^hi CD16+TIGIT/CD366^lo ---
CD62L           | Z-score: +1.34
CD45RO          | Z-score: +1.23
CD197           | Z-score: +1.10
CD45RA          | Z-score: +1.03
CD3+CD19        | Z-score: +0.88
CD69            | Z-score: +0.42
CD8+CD14        | Z-score: +0.07
CD45            | Z-score: -0.26
CD25            | Z-score: -0.43
CD34+CD223      | Z-score: -0.66
CD4+CD33        | Z-score: -0.86
CD56            | Z-score: -0.87
CD152           | Z-score: -0.93
CD16+TIGIT      | Z-score: -0.97
CD279+CD24      | Z-score: -1.09
CD366           | Z-score: -1.63

--- Archetype 11: Archetype 11: CD95/CD62L/CD45RA^hi CD25/CD16+TIGIT/CD4+CD33^lo ---
CD45RA          | Z-score: +1.60
CD62L           | Z-score: +1.52
CD95            | Z-score: +1.25
CD45RO          | Z-score: +1.15
CD152           | Z-score: +0.78
CD3+CD19        | Z-score: +0.73
CD197           | Z-score: +0.62
CD34+CD223      | Z-score: +0.01
CD279+CD24      | Z-score: -0.24
CD69            | Z-score: -0.27
CD56            | Z-score: -0.78
CD366           | Z-score: -0.80
CD45            | Z-score: -0.88
CD8+CD14        | Z-score: -0.96
CD4+CD33        | Z-score: -1.20
CD16+TIGIT      | Z-score: -1.25
CD25            | Z-score: -1.27

--- Archetype 12: Archetype 12: CD3+CD19/CD62L^hi CD4+CD33/CD56/CD279+CD24^lo ---
CD62L           | Z-score: +1.58
CD3+CD19        | Z-score: +1.44
CD95            | Z-score: +0.92
CD197           | Z-score: +0.83
CD45RO          | Z-score: +0.79
CD69            | Z-score: +0.42
CD45RA          | Z-score: +0.41
CD152           | Z-score: +0.35
CD8+CD14        | Z-score: +0.22
CD25            | Z-score: +0.11
CD34+CD223      | Z-score: -0.40
CD45            | Z-score: -0.42
CD366           | Z-score: -0.51
CD16+TIGIT      | Z-score: -0.85
CD279+CD24      | Z-score: -1.13
CD56            | Z-score: -1.66
CD4+CD33        | Z-score: -2.09

--- Archetype 13: Archetype 13: CD45RA/CD45RO/CD95^hi CD16+TIGIT/CD25/CD4+CD33^lo ---
CD95            | Z-score: +1.87
CD45RO          | Z-score: +1.53
CD45RA          | Z-score: +1.33
CD62L           | Z-score: +1.12
CD3+CD19        | Z-score: +0.91
CD69            | Z-score: +0.21
CD152           | Z-score: +0.10
CD45            | Z-score: +0.04
CD34+CD223      | Z-score: -0.05
CD197           | Z-score: -0.25
CD8+CD14        | Z-score: -0.48
CD279+CD24      | Z-score: -0.82
CD56            | Z-score: -0.86
CD366           | Z-score: -1.01
CD4+CD33        | Z-score: -1.06
CD25            | Z-score: -1.11
CD16+TIGIT      | Z-score: -1.47

--- Archetype 14: Archetype 14: CD95/CD62L/CD45RA^hi CD16+TIGIT/CD4+CD33^lo ---
CD45RA          | Z-score: +2.07
CD62L           | Z-score: +1.54
CD95            | Z-score: +1.36
CD3+CD19        | Z-score: +0.94
CD45RO          | Z-score: +0.68
CD8+CD14        | Z-score: +0.33
CD197           | Z-score: +0.02
CD152           | Z-score: -0.18
CD69            | Z-score: -0.30
CD56            | Z-score: -0.31
CD25            | Z-score: -0.32
CD45            | Z-score: -0.60
CD34+CD223      | Z-score: -0.68
